"Client"	"RegistrationDt"	"Age"	"Gender"	"MaritalStatus"	"HasChildren"	"NumChildren"	"PostalCode"	"Zone"	"City"
"125"	"104094052"	"2008-10-02 00:00:00.000"	77	"F"	"M"	"Y"	3	"4420"	"RIO TINTO - GONDOMAR"	"VALBOM GDM"
"126"	"104095458"	"2013-03-17 00:00:00.000"	67	"M"	"S"	"Y"	1	"4435-332"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"127"	"104114339"	"2008-01-01 00:00:00.000"	58	"F"	"S"	"N"	0	"4350-008"	"PORTO"	"PORTO"
"128"	"104210885"	"2009-10-23 00:00:00.000"	68	"F"	""	"N"	0	"4150-640"	"PORTO"	"PORTO"
"129"	"104211385"	"2008-08-15 00:00:00.000"	50	"F"	"S"	"N"	0	"4430-387"	"PORTO"	"V.N.GAIA"
"130"	"104362997"	"2010-05-16 00:00:00.000"	45	"F"	""	"Y"	1	"4435-332"	"RIO TINTO - GONDOMAR"	"RIO TINTO"
"131"	"104492430"	"2009-01-08 00:00:00.000"	19	"M"	""	"Y"	3	"4200-211"	"PORTO"	"PORTO"
"132"	"104494158"	"2009-12-14 00:00:00.000"	44	"M"	"M"	"Y"	2	"4200-249"	"PORTO"	"PORTO"
"133"	"104494778"	"2008-08-04 00:00:00.000"	61	"F"	""	"Y"	3	"4535-291"	"OUTROS"	"PAÇOS DE BRANDÃO"
"134"	"104498684"	"2008-10-02 00:00:00.000"	56	"F"	""	"N"	0	"4050-566"	"PORTO"	"PORTO"
"135"	"104533919"	"2011-08-17 00:00:00.000"	66	"F"	""	"Y"	1	"4050-059"	"PORTO"	"PORTO"
"136"	"10455627"	"2012-10-12 00:00:00.000"	47	"F"	"M"	"Y"	3	"4515-424"	"PORTO"	"MEDAS"
"137"	"104638400"	"2009-04-07 00:00:00.000"	57	"M"	"M"	"Y"	1	"4250-124"	"PORTO"	"PORTO"
"138"	"104666358"	"2014-09-05 00:00:00.000"	63	"F"	"M"	"Y"	1	"4250-161"	"PORTO"	"PORTO"
"139"	"104666374"	"2011-05-22 00:00:00.000"	54	"F"	"M"	"Y"	1	"4465-126"	"PORTO"	"SÃO MAMEDE DE INFESTA"
"140"	"104666935"	"2013-03-17 00:00:00.000"	67	"M"	"M"	"Y"	1	"4050-426"	"PORTO"	"PORTO"
"141"	"104705957"	"2008-08-15 00:00:00.000"	75	"M"	""	"N"	0	"4710-383"	"BRAGA"	"BRAGA"
"142"	"104712368"	"2009-07-21 00:00:00.000"	65	"F"	"M"	"N"	2	"4000-204"	"PORTO"	"PORTO"
"143"	"104716304"	"2012-06-08 00:00:00.000"	55	"F"	""	"N"	0	"4150-049"	"PORTO"	"PORTO"
"144"	"104721601"	"2010-05-16 00:00:00.000"	42	"F"	"M"	"N"	0	"4430-093"	"PORTO"	"V.N.GAIA"
"145"	"104731818"	"2013-12-06 00:00:00.000"	70	"F"	"S"	"Y"	2	"4350-154"	"PORTO"	"PORTO"
"146"	"104731915"	"2014-01-30 00:00:00.000"	54	"M"	"M"	"Y"	3	"4440-632"	"PORTO"	"VALONGO"
"147"	"104733977"	"2013-12-06 00:00:00.000"	60	"F"	"M"	"N"	0	"4700-431"	"BRAGA"	"BRAGA"
"148"	"104740760"	"2008-09-25 00:00:00.000"	70	"M"	"S"	"N"	0	"4445-595"	"PORTO"	"ERMESINDE"
"149"	"104772387"	"2011-11-24 00:00:00.000"	71	"F"	""	"Y"	1	"4050-366"	"PORTO"	"PORTO"
"150"	"104791098"	"2008-01-01 00:00:00.000"	60	"F"	""	"Y"	1	"4470-337"	"PORTO"	"MAIA"
"151"	"104815337"	"2012-08-24 00:00:00.000"	58	"F"	""	"Y"	1	"4000-217"	"PORTO"	" PORTO"
"152"	"104822490"	"2013-07-10 00:00:00.000"	67	"M"	"S"	"Y"	2	"4430-204"	"PORTO"	"V.N.GAIA"
"153"	"104839805"	"2011-08-17 00:00:00.000"	53	"F"	"S"	"Y"	1	"2700-218"	"OUTROS"	"AMADORA"
